"","attribute","Western Europe","Eastern Europe"
"1","eu_position",4.77477226521739,5.27875967961165
"2","eu_salience",5.68641525093168,6.45221898640777
"3","eu_dissent",2.55348271754717,2.58898331932039
"4","eu_intmark",4.94314592083333,5.3054884223301
"5","eu_cohesion",5.09173761319444,5.8223328038835
"6","eu_foreign",3.8805014020979,4.25703224854369
"7","eu_budgets",3.48059282867133,4.11432808252427
"8","lrgen",4.96127197993789,5.56045540611651
"9","lrecon",4.75040922590062,5.0908314138835
"10","lrecon_salience",6.29982147391304,6.24003178932039
"11","galtan",4.60452670689441,5.59626346087379
"12","galtan_salience",6.07785818819876,6.48849371650485
"13","spendvtax",4.4195698920625,4.67388210582524
"14","deregulation",4.57289373701863,4.9035098061165
"15","redistribution",4.1798271354375,4.59060748737864
"16","econ_interven",4.40799802335404,4.67398122330097
"17","civlib_laworder",4.93356371925,5.32978193009709
"18","sociallifestyle",3.67672737186335,5.31875282747573
"19","religious_principles",3.72472135757764,4.76797690679612
"20","immigrate_policy",5.02994315708075,6.12781740970874
"21","multiculturalism",5.08753180801242,5.9008865368932
"22","urban_rural",4.51855967931677,4.78596347475728
"23","regions",4.43129311031847,4.65125113893204
"24","ethnic_minorities",4.5191741520625,4.84448380436893
"25","nationalism",4.79866803375,5.45534494834951
"26","antielite_salience",4.29489862285714,4.6745247407767
"27","corrupt_salience",3.56123245031056,5.79735055825243
