"","attribute","Left","Center","Right","Populist"
"1","eu_position",5.208050125,5.71263367966102,5.32616844142857,3.38053443090909
"2","eu_salience",5.72809416625,6.04810291016949,6.18415586714286,6.03845264181818
"3","eu_dissent",2.59761861679487,2.26744804,2.66231031585714,2.72570228
"4","eu_intmark",4.94286696351351,5.80427453076923,5.69436681044776,3.8733576462963
"5","eu_cohesion",5.62234302432432,5.864062175,5.38088298955224,4.65567996111111
"6","eu_foreign",4.2902381,4.83728380961538,4.19154305970149,2.73752773518519
"7","eu_budgets",3.78199779452055,4.59999371538462,4.11372503880597,2.41843476296296
"8","lrgen",2.569463714625,5.0977060661017,7.19339450571429,6.57513318418182
"9","lrecon",2.735672477125,5.22739102033898,6.88209557285714,5.09372659145455
"10","lrecon_salience",6.44647607,6.12267725762712,6.61780940285714,5.75985144727273
"11","galtan",2.84998530975,4.72989943237288,6.16827424285714,6.88912450890909
"12","galtan_salience",6.05589048875,5.78113065254237,6.31492250142857,6.89540906181818
"13","spendvtax",2.33185761253165,4.79355943559322,6.44168375857143,4.91975306254545
"14","deregulation",2.609112869625,5.16777158644068,6.72087322714286,4.67652222945455
"15","redistribution",2.33244026506329,4.65929043728814,6.18811983714286,4.53228377327273
"16","econ_interven",2.608417666375,4.9196756559322,6.45970815428571,4.36352545363636
"17","civlib_laworder",3.24203651506329,4.33802711355932,6.26929438428571,7.04404804709091
"18","sociallifestyle",2.177797115125,4.08441215084746,5.38482381571429,6.32077990709091
"19","religious_principles",1.968607173625,4.50647657983051,5.37295972285714,5.296434314
"20","immigrate_policy",3.2563479875,4.89920741694915,6.72276068857143,7.651485758
"21","multiculturalism",3.241906771875,4.85257220220339,6.69158057857143,7.50579985836364
"22","urban_rural",3.668949018375,4.84415000169492,4.94723949857143,5.36026926909091
"23","regions",4.16679332589744,4.05826756344828,4.66944462042857,5.32484007592593
"24","ethnic_minorities",2.62265296620253,3.88795787355932,5.82620300857143,6.866116122
"25","nationalism",3.17766631151899,4.28417137288136,6.03303671,7.33769265036364
"26","antielite_salience",4.18570008,3.20306540745763,3.67648979628571,7.12297409818182
"27","corrupt_salience",4.148699390875,4.19709088271186,4.38129430214286,5.16855668181818
